id,color,name,price,XS (28),S (30б),M (32),L (34),XL (36),XXL,total,relevant_VK,sold,notes,
,,,,,,,,,,,,,,
,,,,,,,,,,,"** При создании упомяналось об актуализации размеров в разделе ""Описание""",,,
,,CONVERSE,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Свитшот New Jearsey (Maroon),"р.4 390,00",,1,,,,,1,нет,,,
,,Свитшот New Jearsey (Black),"р.4 390,00",,,,,,,0,да,,ЗАКОНЧИЛИСЬ?,
,,Свитшот Shriever (Black),"р.4 390,00",,1,,1,,,2,да,,,
,,Свитшот (Black) (не утепл) ,"р.3 990,00",,,1,,,,1,нет,,,
,,Свитшот (Blue) (не утепл),"р.3 990,00",,,1,1,,,2,нет,,,
,,Рубашка поло Lake Charles (green+blue),"р.5 990,00",,,,,,,0,да,,ЗАКОНЧИЛИСЬ?,
,,Лонгслив Baldwin,"р.3 590,00",,1,,,,,1,да,,,
,,,,,,,,,,,,,,
,,Футболка (Черный) (DICKIES100) ,"р.4 490,00",,,,2,,,2,нет,,,
,,Футболка (Белый) (большое лого на груди),"р.4 490,00",,,1,,,,1,нет,,,
,,Футболка (Фиолетовый) (большим лого на груди),"р.4 290,00",,,,,1,,1,нет,,,
,,Футболка (Салатовый) (большим лого на груди),"р.4 290,00",,,,1,,,1,нет,,,
,,Футболка (CBL) (большое лого на груди),"р.2 690,00",,1,,,,,1,нет,,,
,,Футболка (Черный) (мини лого на груди),"р.3 990,00",,,1,2,,,3,нет,,,
,,Футболка (Темно-синий) (мини лого на груди),"р.3 990,00",,,2,,,,2,нет,,,
,,Футболка (Белый) (мини лого на груди),"р.3 990,00",,,,,1,,1,нет,,,
,,Футболка (Черный) (с карманом) ,"р.4 490,00",,,,1,1,,2,нет,,,
,,,,,,,,,,,,,,
,,Рубашка (Blue),"р.6 490,00",,,1,,,,1,нет,,,
,,Рубашка (Black),"р.6 490,00",,,1,,1,,2,нет,,,
,,,,,,,,,,,,,,
,,Брюки Slim Fit (Black),"р.6 990,00",1,1,,,,,2,нет,,"29x32 зал
30x32 склад
31x32 склад",
,,Брюки Slim Fit (Blue),"р.6 990,00",,1,,,,,1,нет,,30x32 зал,
,,Брюки Loose Fit (Black),"р.8 490,00",,1,1,,,,2,нет,,"30x32 зал
31x32 зал",
,,,,,,,,,,,,,,
,,"""Snap front JACKET"" (dark blue)","р.7 590,00",,,2,2,1,,5,нет,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,POLAR SKATE CO,,,,,,,,,,,,
,,Худи (Серо-синий) ,"р.12 490,00",,,,1,1,,2,нет,,,
,,Худи (Черный) ,"р.12 490,00",,,1,,,,1,нет,,,
,,Свитшот (Фиолетовый),"р.11 490,00",,,1,1,,,2,нет,,,
,,Ветровка (Черный) ,"р.15 990,00",,,1,1,,,2,нет,,,
,,Лонгслив (Черный) (лого на спине) ,"р.7 990,00",,,1,1,,,2,нет,,,
,,Лонгслив (Черный) (бело-оранжевый принт),"р.8 990,00",,,1,,,,1,нет,,,
,,Футболка (Черный) (лого на спине),"р.6 990,00",,,1,1,1,,3,нет,,,
,,"Футболка (Черный) (принтом на спине ""my soul"")","р.7 490,00",,,,1,1,,2,нет,,,
,,Футболка (Белый) (лого на спине) ,"р.6 990,00",,,,1,1,,2,нет,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ANTEATER,,,,,,,,,,,,"* поставить на автоsum (count +1), если есть маркер ячейки (проблема: подходит только для ячеек со значением ""1"""
,,Брюки ANTEATER Baggy-Black ,"р.4 990,00",,,,,,,0,да,,ЗАКОНЧИЛИСЬ,"** например, желтый"
,,Брюки ANTEATER Baggy-Navy ,"р.4 990,00",,,,,,,0,да,,,*** https://support.google.com/docs/table/25273?hl=ru
,,Брюки ANTEATER Jeans-Black,,,,1,,,,1,,,,
,,Брюки ANTEATER Jeans-Navy,,,,1,,,,1,,,,
,,Брюки ANTEATER Parachute-Black,"р.4 790,00",,,,1,,,1,да,,,
,,Брюки ANTEATER Widepants-Navy,,,1,1,1,,,3,,,,
,,Брюки ANTEATER Workchino-Navy,,,,2,,,,2,,,,
,,Брюки ANTEATER Workchino-Bage,,,,,,,,0,,,,
,,Брюки ANTEATER Workchino-Haki,,,1,,,,,1,,,,
,,Брюки ANTEATER Workchino-Black,,,1,1,1,,,3,,,,
,,Куртка ANTEATER Alaska-Black,"р.12 990,00",,,,,,,0,да,,,
,,Куртка ANTEATER Downlong-Brown,"р.10 990,00",,,2,,,,2,да,,,
,,Куртка ANTEATER Downjacket-Black ,"р.8 490,00",,1,3,4,2,1,11,да,победитель забрал М,,
,,Куртка ANTEATER Downjacket-Combo-Brown,"р.8 490,00",,,1,1,1,,3,да,,,
,,Куртка ANTEATER Downjacket-Combo-Dark-Grey ,"р.8 490,00",,,1,,,,1,да,,,
,,Куртка ANTEATER Downjacket-Combo-Grey,"р.8 490,00",,1,,1,1,1,4,да,,,
,,Куртка ANTEATER Downjacket-Combo-Haki ,"р.8 490,00",,,1,1,1,,3,да,,,
,,Куртка ANTEATER Downjacket-Combo-Light Grey,"р.8 490,00",,,1,,,,1,да,,,
,,Куртка ANTEATER Downjacket-Combo-Navy,"р.8 490,00",,1,,,,,1,да,,,
,,Куртка ANTEATER Downjacket-Combo-Violet,"р.8 490,00",,,2,,1,,3,да,,,
,,Куртка ANTEATER Downjacket-HoodedCrispy-Black,"р.6 990,00",,1,1,,1,,3,да,,,
,,Куртка ANTEATER Downjacket-HoodedCrispy-Dark-Green,"р.6 990,00",,,1,,1,,2,да,,,
,,Куртка ANTEATER Downjacket-HoodedCrispy-Grey,"р.6 990,00",,,1,1,,,2,да,,,
,,Куртка ANTEATER Downjacket-Vlvt-Blue,"р.9 490,00",,,,,,,0,да,(M забрал Паша),,
,,Куртка ANTEATER Downjacket-Vlvt-Brown,"р.9 490,00",,,,1,,,1,да,,,
,,Лонгслив ANTEATER Phat-Long095 (Черный) (карман с лого),"р.2 790,00",,,1,1,1,,3,да,,,
,,Лонгслив ANTEATER Phat-Long100 (Серый) (карман с лого),"р.2 790,00",,,,,,,0,да,,,
,,Лонгслив ANTEATER Phat-Long105 (Double) (Песочный) (рукав темно-серый) ,"р.2 890,00",,,1,1,1,,3,да,,,
,,Лонгслив ANTEATER Phat-Long108 (Double) (Темно-серый) (рукав серый),"р.2 890,00",,,1,,,,1,да,,,
,,Лонгслив ANTEATER Phat-Long109 (Sleeve) (Светло-серый),"р.2 690,00",,,1,1,1,,3,да,,,
,,Лонгслив ANTEATER Phat-Long110 (Sleeve) (Темно-серый),"р.2 690,00",,,1,,,,1,да,,,
,,Лонгслив ANTEATER Phat-Long112 (Sleeve) (Черный) (бензин),"р.3 290,00",1,2,2,1,,,6,,,,
,,Толстовка ANTEATER Crewneck-Terrakot-Anteater,"р.3 190,00",,1,1,,,,2,,,,
,,Толстовка ANTEATER Hoodie-FLEECE-Olive-Haki,"р.5 290,00",,,,,,,0,,,SOLD OUT,
,,Толстовка ANTEATER Hoodie-Terrakot,,,,1,,,,1,,,,
,,Футболка ANTEATER 338,,,,1,1,1,,3,,,,
,,Футболка ANTEATER 339,,,,,,,,0,,,ЗАКОНЧИЛИСЬ,
,,Футболка ANTEATER 340,,,,1,,,,1,,,,
,,Футболка ANTEATER 341,,,,,,1,,1,нет,,нет на сайте creamshop,
,,Футболка ANTEATER 342,,,,1,1,1,,3,,,,
,,Футболка ANTEATER 344,,,,1,,,,1,,,,
,,Футболка ANTEATER 352 ,,,,,1,,,1,нет,,нет на сайте creamshop,
,,Футболка ANTEATER 359,,,,2,2,,,4,,,,
,,Футболка ANTEATER 364,"р.2 090,00",,1,1,,1,,3,да,,,
,,Футболка ANTEATER 367,,,1,1,1,,,3,,,,
,,Футболка ANTEATER 368,,,,1,,1,,2,,,,
,,Футболка ANTEATER 370,,,,1,1,,,2,,,,
,,Футболка ANTEATER 373,,,,,,,,0,,,ЗАКОНЧИЛИСЬ,
,,Футболка ANTEATER 377,,,,3,2,2,1,8,,,,
,,Футболка ANTEATER Phat-325,,,1,,1,,,2,,,,
,,Футболка ANTEATER Phat-446,,,2,2,1,,,5,,,,
,,Футболка ANTEATER Phat-492,,,1,1,1,,,3,,,,
,,Футболка ANTEATER Phat-514,,,,1,,,,1,,,,
,,Футболка ANTEATER Pocket-212,,,,1,1,,,2,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,FEATHERS,,,,,,,,,,,,
,,Худи FEATHERS (Мятный),"р.7 500,00",,,1,1,1,,3,да,,,
,,Худи FEATHERS (Черный),"р.7 500,00",,,,,,,0,да,,,
,,Брюки FEATHERS (Бежевый),"р.5 600,00",,,,,1,,1,да,,,
,,Брюки FEATHERS (Синий),"р.5 600,00",,,1,,,,1,да,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,VANS,,,,,,,,,,,,
,,"Худи VANS (Черный) (принт ""пиво"") ","р.6 490,00",,,,2,,,2,,,,
,,"Худи VANS (Розовый) (лого ""Vans"")","р.6 490,00",1,1,,1,1,,4,,,,
,,Футболка VANS (Берюзовый) (круглое лого)  ,"р.1 000,00",,1,1,,,,2,,,,
,,"Футболка VANS (Желтый) (принт ""сафари"") ","р.3 500,00",1,1,1,,,,3,,,,
,,"Футболка VANS (Серый) (принт ""масоны"")","р.3 500,00",,,,,,1,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ALLSAINTS,,,,,,,,,,,,
,,Футболка ALLSAINTS (White),"р.2 490,00",2,2,,,1,,5,,,,
,,Футболка ALLSAINTS (Cappuccino),"р.2 490,00",,,,1,1,2,4,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ЗАПОРОЖЕЦ,,,,,,,,,,,,
,,Джинсы Запорожец Mid (Blue),"р.3 990,00",,,,,,,0,,,32 зал,
,,Джинсы Запорожец Light (Blue),"р.3 990,00",,,,,,,0,,,27 зал,
,,"Футболка Запорожец (Белый) (принт ""связь"")","р.2 000,00",,2,,,,,2,,,,
,,"Футболка Запорожец (Белый) (принт ""гималаи 89"")","р.2 000,00",,2,,,,,2,,,,
,,Ветровка Запорожец (Черный),"р.4 500,00",,1,1,,,,2,,,,
,,Куртка Запорожец (Синий),"р.5 990,00",1,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,CHAMPION,,,,,,,,,,,,
,,Толстовка Zip Champion (Black),"р.3 500,00",,1,,,1,,2,нет вк,,,
,,Худи Champion (Navy) ,"р.3 500,00",,,2,1,1,1,5,нет вк,,,
,,Худи Champion (Red),"р.3 500,00",,1,1,1,,,3,нет вк,,,
,,Худи Champion (Pink),"р.3 500,00",,2,2,,,,4,нет вк,,,
,,Худи Champion (Black),"р.3 500,00",,2,2,,,,4,нет вк,,,
,,Худи Champion (Gray),"р.3 500,00",,1,,1,,1,3,нет вк,,,
,,Худи Champion (Purple),"р.3 500,00",,2,,,,,2,нет вк,,,
,,Худи Champion (White),"р.3 500,00",,,1,,,,1,нет вк,,,
,,Худи Champion (Yellow/White/Black),"р.3 500,00",,1,1,1,,,3,нет вк,,,
,,Свитшот Champion (Blue/White/Red),"р.3 500,00",,1,,,,,1,нет вк,,,
,,Свитшот Champion (Yellow),"р.3 500,00",,1,1,1,,,3,нет вк,,,
,,Zip Champion (Red/White/Black) (от костюма),"р.3 500,00",,1,,,1,,2,нет вк,,,
,,,,,,,,,,,,,,
,,Шорты Champion (Белый),"р.2 500,00",,1,1,,,,2,нет вк,,,
,,Штаны Champion (Черный),"р.3 950,00",,2,1,,,,3,нет вк,,,
,,Штаны Champion (Белый),"р.3 950,00",,1,1,1,,,3,нет вк,,,
,,Штаны Champion (Синий) (от костюма),"р.3 950,00",,1,,,,1,2,нет вк,,,
,,,,,,,,,,,,,,
,,Футболка Champion (Красный) ,"р.2 690,00",,1,1,,,,2,нет вк,,,
,,Футболка Champion (Желтый),"р.2 690,00",,,1,,,,1,нет вк,,,
,,Футболка Champion (Зеленый),"р.2 690,00",,1,1,,,,2,нет вк,,,
,,Футболка Champion (Синий) ,"р.2 690,00",,1,1,,,,2,нет вк,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,LYLE & SCOTT,,,,,,,,,,,,
,,Худи Lyle&Scott (Песочный),"р.5 690,00",,1,1,,1,,3,нет вк,,,
,,Худи Lyle&Scott (Белый),"р.5 690,00",,,,,1,,1,да,,,
,,Худи Lyle&Scott (Голубой),"р.5 690,00",,1,2,1,,,4,да,,,
,,Худи Lyle&Scott (Хаки) ,"р.5 690,00",,1,1,,,,2,да,,,
,,Худи Lyle&Scott (Wash Green),"р.5 690,00",1,1,1,,,,3,нет вк,,,
,,,,,,,,,,,,,,
,,Свитшот Lyle&Scott (Синий),"р.5 190,00",,1,1,,1,,3,да,,,
,,Свитшот Lyle&Scott (Черный),"р.5 190,00",,,,,,,0,да,,ЗАКОНЧИЛИСЬ,
,,Свитшот Lyle&Scott (Wash Green),"р.5 190,00",,1,,,,,1,нет вк,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,HORSEFEATHERS,,,,,,,,,,,,
,,Худи HORSEFEATHERS (Бардовый),"р.3 000,00",1,,,,,,1,нет вк,,Только на складе ,
,,Футболка HORSEFEATHERS (Серый),"р.1 500,00",,1,,,,,1,нет вк,,Только на складе ,
,,Футболка HORSEFEATHERS (Зеленый),"р.1 500,00",,1,,,,,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ЮНОСТЬ СЕВЕР,,,,,,,,,,,,
