id,name,price,count,35 (22cm),36 (22.5cm),36.5 (23cm),37 (23.5cm),37.5 (24cm),38 (24.5cm),38.5,39 (24.5cm),39.5 ,40 (25cm),40.5 (25.5cm),41 (26cm),41.5 (26.5cm),42 (27cm),42.5 (27.5cm),43 (28cm),44 (28.5cm),44.5 (29cm),45 (29.5cm),46 (30cm),46.5 (30.5cm),47 (31cm),48 (31.5cm),notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONVERSE,,,,,,,,,,,,,,,,,,,,,,,,,,
,Converse Chuck Taylor 70,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VANS,,,,,,,,,,,,,,,,,,,,,,,,,,
721454,Vans Old Skool (MonoBlack),"р.8 490,00",0,,,,,,,,,,,,,,,,,,,,,,,,
VN000D3HNVY,Vans Old Skool (Navy),"р.8 490,00",4,,,,,,,,,,,,,,1,,2,1,,,,,,,
751505,Vans Old Skool (Red),"р.7 990,00",2,,,,1,,,,,,1,,,,,,,,,,,,,,(коробок нет) правые в коробке у ресепшена
VN000D3HY28,Vans Old Skool (Black),"р.8 490,00",13,,,,,,1,1,1,,1,,1,,1,1,2,1,1,1,1,,,,
,Vans Ward (Black),,0,,,,,,,,,,,,,,,,,,,,,,,,
VN0A3TLC1871,Vans Ward Platform (Black),"р.6 490,00",1,,1,,,,,,,,,,,,,,,,,,,,,,
VN0A3B3UY28,Vans Old Skool Platform (Black),"р.9 490,00",3,,,,,,1,1,1,,,,,,,,,,,,,,,,
VN0009QC6BT,Vans Knu Skool (Black),"р.9 900,00",2,,,,,,,1,1,,,,,,,,,,,,,,,,
VN000D5IB8C,Vans SK8-HI (Black),"р.9 490,00",10,,,,1,,1,1,1,,1,,,,1,,2,2,,,,,,,
,Vans SK8-HI (Navy),"р.9 490,00",0,,,,,,,,,,,,,,,,,,,,,,,,
,Vans SK8-HI (Red),"р.9 490,00",0,,,,,,,,,,,,,,,,,,,,,,,,1 модель - брак
,Vans Slip-on (Navy),"р.3 990,00",2,,,,,,1,,1,,,,,,,,,,,,,,,,(39 размер в коробке у ресепшена)
,Vans Slip-on (Шашки Black),"р.3 990,00",0,,,,,,,,,,,,,,,,,,,,,,,,
751505,Vans Slip-on (Шашки White),"р.3 990,00",1,,,,,,,,,,,1,,,,,,,,,,,,,
507452,Vans Autentic (MonoBlack),"р.4 990,00",9,,1,1,,,1,,,,,1,1,,,1,,,1,,1,,1,,"(36, 46, 47 размеры в коробке у ресепшена)"
VN000EE3BLK1,Vans Autentic (Black),"р.5 590,00",5,,,,,,1,,,,,,,,,1,1,1,,,,,1,,(47 размер в коробке у ресепшена)
,Vans Autentic (Navy),"р.3 990,00",5,,,1,,,,,,,1,,1,,2,,,,,,,,,,(2 пары 42 размера в коробке у ресепшена)
VN000QER5U81,Vans Autentic (Burgundy) (Бардо),"р.4 990,00",10,,1,1,1,,1,1,,,1,1,,,,1,1,1,,,,,,,"(43, 44 размеры в коробке у ресепшена)"
